grid_id,center_lat,center_lon,n_restaurants,avg_score,cuisine_diversity,n_target,suitability_score,label
-9229_5085,40.68464548728588,-73.83530840048273,34,14.709677419354838,14,0,0.12650292,0
-9229_5086,40.69141309433643,-73.83541422497443,7,15.142857142857142,6,0,0.58619636,0
-9229_5087,40.697886511445866,-73.83558914169122,23,15.954545454545455,11,0,3.2373958,0
-9229_5088,40.7072500121046,-73.8353348137631,10,16.1,8,0,20.46565,0
-9229_5089,40.716937153722306,-73.83496264601692,26,13.428571428571429,16,0,45.238804,0
-9229_5093,40.751833143971496,-73.832935536717,2,15.0,2,0,25.829601,0
-9229_5094,40.75802710071246,-73.83356380187763,80,18.628205128205128,14,0,13.412709,0
-9229_5095,40.7613355856716,-73.83334267569944,58,16.894736842105264,15,0,18.779284,0
-9229_5096,40.769342929063825,-73.83498166296793,17,14.0625,10,0,4.3462815,0
-9229_5097,40.781664802026,-73.836920863315,2,20.0,2,0,0.5191463,0
-9229_5098,40.786530007148365,-73.83672801473345,11,12.909090909090908,8,0,0.87102306,0
-9229_5101,40.811599588713,-73.835329966218,1,13.0,1,0,0.3884369,0
-9229_5102,40.823678037300496,-73.836420051251,8,16.875,6,0,0.3109196,0
-9229_5103,40.824147438678,-73.836455025077,1,7.0,1,0,0.37204853,0
-9229_5104,40.837244165403334,-73.83541682134944,9,17.5,8,0,2.1027906,0
-9229_5105,40.84444946118273,-73.83501659359128,11,15.2,7,0,8.425034,0
-9229_5106,40.852134436919,-73.839545233085,1,10.0,1,0,42.485832,0
-9229_5107,40.863796685179,-73.833660066902,1,3.0,1,0,19.785934,0
-9229_5108,40.8673991848462,-73.83464455954261,5,10.6,5,0,9.904308,0
-9229_5109,40.877758648808495,-73.8371561764705,2,19.0,2,0,1.0026845,0
-9229_5110,40.88230400155513,-73.83651431110124,8,13.25,5,0,0.69367945,0
-9230_5072,40.58128655015,-73.84799971758,2,16.0,1,0,0.0145821,0
-9230_5082,40.66143813727483,-73.84044247513006,17,10.705882352941176,11,0,1.6065603,0
-9230_5083,40.6696751650325,-73.8426146921635,8,12.25,8,0,0.2601705,0
-9230_5084,40.67607079327865,-73.84383058879787,14,11.285714285714286,10,0,0.20838355,0
-9230_5085,40.68227474944919,-73.84429758464339,31,14.758620689655173,15,0,0.17793941,0
-9230_5086,40.692900358679765,-73.84303697947433,21,13.19047619047619,11,0,0.78328717,0
-9230_5088,40.70981855974086,-73.84684445681872,7,19.857142857142858,7,0,50.977386,0
-9230_5089,40.71921729469683,-73.84287118731447,42,14.76923076923077,20,0,70.413246,0
-9230_5090,40.72078655684067,-73.84534563557983,43,14.820512820512821,26,1,72.864296,1
-9230_5094,40.7555644737805,-73.84453421243225,4,9.5,2,0,3.8025181,0
-9230_5095,40.760497372311,-73.842921762649,1,38.0,1,0,2.9815335,0
-9230_5096,40.771432976166665,-73.843941673961,3,13.666666666666666,1,0,1.3373935,0
-9230_5097,40.78203023959731,-73.84525485465635,29,20.178571428571427,12,0,0.41826895,0
-9230_5098,40.78441749337538,-73.84554229217284,13,13.615384615384615,7,0,0.3162225,0
-9230_5103,40.831407601911,-73.844589426555,1,13.0,1,0,2.6579943,0
-9230_5104,40.83719372962633,-73.84633863399101,9,11.555555555555555,6,0,6.9523373,0
-9230_5105,40.841971505183174,-73.84400344808775,28,11.592592592592593,15,0,22.47405,0
-9230_5106,40.8504609065061,-73.8438843342404,10,9.3,8,1,45.276497,1
-9230_5107,40.86147711805878,-73.84345800761756,9,11.555555555555555,7,0,15.511075,0
-9230_5108,40.8703314490765,-73.84564792354308,12,12.454545454545455,7,0,2.0308244,0
-9230_5109,40.87749455394788,-73.84568294879182,16,15.75,7,0,0.15859167,0
-9230_5110,40.883146174118,-73.844853311561,2,9.5,2,0,0.18347855,0
-9230_5111,40.889945154124,-73.843018903317,4,7.5,4,0,0.099499956,0
-9230_5112,40.90141233767,-73.84689219767,1,13.0,1,0,0.09415188,0
